Time,Value
2018-11-05 02:45:00PM,0.128411
2018-11-05 02:46:00PM,0.129297
2018-11-05 02:47:00PM,0.128769
2018-11-05 02:48:00PM,0.128401
2018-11-05 02:49:00PM,0.129459
2018-11-05 02:50:00PM,0.129629
2018-11-05 02:51:00PM,0.129468
2018-11-05 02:52:00PM,0.131138
2018-11-05 02:53:00PM,0.130546
2018-11-05 02:54:00PM,0.130419
2018-11-05 02:55:00PM,0.130104
2018-11-05 02:56:00PM,0.130380
2018-11-05 02:57:00PM,0.132291
2018-11-05 02:58:00PM,0.130383
2018-11-05 02:59:00PM,0.131371
2018-11-05 03:00:00PM,0.130456
2018-11-05 03:01:00PM,0.130290
2018-11-05 03:02:00PM,0.129511
2018-11-05 03:03:00PM,0.131350
2018-11-05 03:04:00PM,0.130420
2018-11-05 03:05:00PM,0.129100
2018-11-05 03:06:00PM,0.127867
2018-11-05 03:07:00PM,0.127270
2018-11-05 03:08:00PM,0.129664
2018-11-05 03:09:00PM,0.127668
2018-11-05 03:10:00PM,0.127975
2018-11-05 03:11:00PM,0.128892
2018-11-05 03:12:00PM,0.129258
2018-11-05 03:13:00PM,0.131340
2018-11-05 03:14:00PM,0.130359
2018-11-05 03:15:00PM,0.132233
2018-11-05 03:16:00PM,0.131451
2018-11-05 03:17:00PM,0.130580
2018-11-05 03:18:00PM,0.131007
2018-11-05 03:19:00PM,0.131148
2018-11-05 03:20:00PM,0.132024
2018-11-05 03:21:00PM,0.131554
2018-11-05 03:22:00PM,0.131287
2018-11-05 03:23:00PM,0.130342
2018-11-05 03:24:00PM,0.129143
2018-11-05 03:25:00PM,0.131712
2018-11-05 03:26:00PM,0.131111
2018-11-05 03:27:00PM,0.130434
2018-11-05 03:28:00PM,0.130119
2018-11-05 03:29:00PM,0.128426
2018-11-05 03:30:00PM,0.128985
2018-11-05 03:31:00PM,0.128228
2018-11-05 03:32:00PM,0.128436
2018-11-05 03:33:00PM,0.130371
2018-11-05 03:34:00PM,0.130413
2018-11-05 03:35:00PM,0.129466
2018-11-05 03:36:00PM,0.127514
2018-11-05 03:37:00PM,0.129529
2018-11-05 03:38:00PM,0.130918
2018-11-05 03:39:00PM,0.132018
2018-11-05 03:40:00PM,0.130391
2018-11-05 03:41:00PM,0.132019
2018-11-05 03:42:00PM,0.131810
2018-11-05 03:43:00PM,0.130767
2018-11-05 03:44:00PM,0.132499
2018-11-05 03:45:00PM,0.131584
2018-11-05 03:46:00PM,0.129398
2018-11-05 03:47:00PM,0.130619
2018-11-05 03:48:00PM,0.129558
2018-11-05 03:49:00PM,0.131551
2018-11-05 03:50:00PM,0.131647
2018-11-05 03:51:00PM,0.130341
2018-11-05 03:52:00PM,0.128181
2018-11-05 03:53:00PM,0.129787
2018-11-05 03:54:00PM,0.130200
2018-11-05 03:55:00PM,0.131626
2018-11-05 03:56:00PM,0.131141
2018-11-05 03:57:00PM,0.133434
2018-11-05 03:58:00PM,0.127822
2018-11-05 03:59:00PM,0.128076
2018-11-05 04:00:00PM,0.128489
2018-11-05 04:01:00PM,0.128614
2018-11-05 04:02:00PM,0.127853
2018-11-05 04:03:00PM,0.129299
2018-11-05 04:04:00PM,0.129796
2018-11-05 04:05:00PM,0.130930
2018-11-05 04:06:00PM,0.128013
2018-11-05 04:07:00PM,0.130153
2018-11-05 04:08:00PM,0.130843
2018-11-05 04:09:00PM,0.131770
2018-11-05 04:10:00PM,0.130952
2018-11-05 04:11:00PM,0.130427
2018-11-05 04:12:00PM,0.131162
2018-11-05 04:13:00PM,0.131858
2018-11-05 04:14:00PM,0.131517
2018-11-05 04:15:00PM,0.132134
2018-11-05 04:16:00PM,0.131179
2018-11-05 04:17:00PM,0.131719
2018-11-05 04:18:00PM,0.128644
2018-11-05 04:19:00PM,0.130666
2018-11-05 04:20:00PM,0.131708
2018-11-05 04:21:00PM,0.132432
2018-11-05 04:22:00PM,0.131109
2018-11-05 04:23:00PM,0.128752
2018-11-05 04:24:00PM,0.130130
2018-11-05 04:25:00PM,0.131075
2018-11-05 04:26:00PM,0.130537
2018-11-05 04:27:00PM,0.129270
2018-11-05 04:28:00PM,0.129445
2018-11-05 04:29:00PM,0.128128
2018-11-05 04:30:00PM,0.128442
2018-11-05 04:31:00PM,0.129834
2018-11-05 04:32:00PM,0.129274
2018-11-05 04:33:00PM,0.129985
2018-11-05 04:34:00PM,0.131924
2018-11-05 04:35:00PM,0.132648
2018-11-05 04:36:00PM,0.130769
2018-11-05 04:37:00PM,0.130656
2018-11-05 04:38:00PM,0.131173
2018-11-05 04:39:00PM,0.130978
2018-11-05 04:40:00PM,0.131226
2018-11-05 04:41:00PM,0.131870
2018-11-05 04:42:00PM,0.130015
2018-11-05 04:43:00PM,0.130210
2018-11-05 04:44:00PM,0.130964
2018-11-05 04:45:00PM,0.131214
2018-11-05 04:46:00PM,0.131101
2018-11-05 04:47:00PM,0.130857
2018-11-05 04:48:00PM,0.129840
2018-11-05 04:49:00PM,0.128483
2018-11-05 04:50:00PM,0.128951
2018-11-05 04:51:00PM,0.129801
2018-11-05 04:52:00PM,0.127926
2018-11-05 04:53:00PM,0.128736
2018-11-05 04:54:00PM,0.128333
2018-11-05 04:55:00PM,0.129978
2018-11-05 04:56:00PM,0.129293
2018-11-05 04:57:00PM,0.131448
2018-11-05 04:58:00PM,0.131090
2018-11-05 04:59:00PM,0.132285
2018-11-05 05:00:00PM,0.131765
2018-11-05 05:01:00PM,0.130409
2018-11-05 05:02:00PM,0.131441
