timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-07T08:00:00,20.17,48.07,2.27,2.52
2017-12-07T08:15:00,44.04,859.41,2.27,2.46
2017-12-07T08:30:00,101.62,388.93,2.27,2.27
2017-12-07T08:45:00,263.84,57.11,2.27,2.45
2017-12-07T09:00:00,33.14,52.89,2.32,2.54
2017-12-07T09:15:00,66.62,623.15,2.27,2.47
2017-12-07T09:30:00,101.15,376.52,2.28,2.47
2017-12-07T09:45:00,272.82,60.27,2.25,2.34
2017-12-07T10:00:00,28.98,50.34,2.23,2.22
2017-12-07T10:15:00,100.23,864.23,2.24,2.42
2017-12-07T10:30:00,100.82,163.22,2.25,2.45
2017-12-07T10:45:00,249.59,59.37,2.25,2.46
2017-12-07T11:00:00,71.14,65.24,1.98,1.89
2017-12-07T11:15:00,214.63,104.6,1.43,0.77
2017-12-07T11:30:00,42.26,959.97,1.45,0.69
2017-12-07T11:45:00,101.26,343.51,1.49,0.93
2017-12-07T12:00:00,296.21,50.89,1.47,0.9
2017-12-07T12:15:00,101.36,268.27,1.49,0.96
2017-12-07T12:30:00,101.2,589.83,1.49,1.04
2017-12-07T12:45:00,299.94,54.28,1.48,0.86
2017-12-07T13:00:00,101.63,63.31,2.19,2.18
2017-12-07T13:15:00,222.77,66.12,2.28,2.49
2017-12-07T13:30:00,41.16,893.02,2.27,2.49
2017-12-07T13:45:00,101.52,384.96,2.28,2.49
2017-12-07T14:00:00,288.66,61.18,2.25,2.44
2017-12-07T14:15:00,20.91,50.36,2.24,2.23
2017-12-07T14:30:00,276.77,100.74,2.25,2.37
2017-12-07T14:45:00,14.17,415,2.24,2.44
2017-12-07T15:00:00,72.72,960.8,2.25,2.43
2017-12-07T15:15:00,101.56,68.23,2.25,2.38
2017-12-07T15:30:00,251.81,60.99,2.22,2.21
2017-12-07T15:45:00,46.82,52.52,2.21,2.07
2017-12-07T16:00:00,235.61,92.99,2.23,2.31
2017-12-07T16:15:00,21.24,748.94,2.26,2.36
2017-12-07T16:30:00,101.07,627.49,2.25,2.35
2017-12-07T16:45:00,158.58,50.61,2.25,2.37
2017-12-07T17:00:00,220.35,61.21,2.22,2.18
2017-12-07T17:15:00,229.26,70.57,2.25,2.22
2017-12-07T17:30:00,24.5,675.26,2.24,2.34
2017-12-07T17:45:00,101.41,501.27,2.25,2.35
2017-12-07T18:00:00,284.06,61.19,2.25,2.37
2017-12-07T18:15:00,21.8,50.81,2.28,2.41
2017-12-07T18:30:00,89.22,649.7,2.24,2.18
2017-12-07T18:45:00,101.17,278.49,2.2,2.21
2017-12-07T19:00:00,288.76,58.48,1.58,1.09
2017-12-07T19:15:00,178.86,76.69,1.54,0.96
2017-12-07T19:30:00,137.57,67.85,1.55,0.97
2017-12-07T19:45:00,47.93,910.34,1.56,0.97
2017-12-07T20:00:00,102.42,244.04,2.13,1.86
2017-12-07T20:15:00,265.65,60.61,2.31,2.35
2017-12-07T20:30:00,36.33,160.3,2.3,2.42
2017-12-07T20:45:00,100.66,756.76,2.27,2.38
2017-12-07T21:00:00,285.16,56.82,2.27,2.38
2017-12-07T21:15:00,102.03,48.83,2.29,2.34
2017-12-07T21:30:00,214.34,69.99,2.28,2.18
2017-12-07T21:45:00,40.29,729.16,2.3,2.4
2017-12-07T22:00:00,101.89,440.97,2.31,2.43
2017-12-07T22:15:00,282.12,61.19,2.28,2.39
2017-12-07T22:30:00,36.97,49.52,2.27,2.39
2017-12-07T22:45:00,256.71,105.79,2.3,2.3
2017-12-07T23:00:00,14.25,363.84,2.31,2.22
2017-12-07T23:15:00,79.5,893.66,2.29,2.42
2017-12-07T23:30:00,102.09,50.54,2.33,2.44
2017-12-07T23:45:00,245.94,61.95,2.33,2.45
2017-12-08T00:00:00,28.54,27.14,0.93,0.98
2017-12-08T00:15:00,221.47,87.7,2.29,2.25
2017-12-08T00:30:00,13.97,112.14,2.28,2.19
2017-12-08T00:45:00,249.26,135.74,2.45,2.54
2017-12-08T01:00:00,14.54,763.27,2.36,2.46
2017-12-08T01:15:00,64.52,899.54,2.34,2.43
2017-12-08T01:30:00,102.98,51.33,2.36,2.45
2017-12-08T01:45:00,255.48,62.32,2.34,2.32
2017-12-08T02:00:00,24.38,124.77,2.28,2.19
2017-12-08T02:15:00,101.54,722.61,2.3,2.4
2017-12-08T02:30:00,289.11,58.85,2.31,2.45
2017-12-08T02:45:00,18.42,50.12,2.32,2.56
2017-12-08T03:00:00,94.24,622.67,2.31,2.54
2017-12-08T03:15:00,101.76,320.06,2.29,2.42
2017-12-08T03:30:00,286.94,59.03,2.28,2.3
2017-12-08T03:45:00,261.09,77.97,2.31,2.54
2017-12-08T04:00:00,14.03,193.56,2.31,2.55
2017-12-08T04:15:00,73.61,947.99,2.3,2.53
2017-12-08T04:30:00,101.93,69.99,2.3,2.54
2017-12-08T04:45:00,274.18,60.29,2.28,2.44
2017-12-08T05:00:00,168.79,90.21,2.25,2.27
2017-12-08T05:15:00,128.87,66.67,2.27,2.51
2017-12-08T05:30:00,14.13,122.7,2.26,2.53
